JD-2400000       vel   err
53709.89685	-184.5	2.3
53723.85188	-238.6	2.2
53723.85367	-238.2	2.5
53723.85546	-227.7	2.3
53727.84394	-238.9	2.5
53727.84573	-244.9	2.4
53727.84752	-242.9	2.6
53736.81887	-257.6	2.5
53736.82100	-248.2	2.9
53736.82315	-253.4	2.4
53738.03261	-246.7	2.8
53738.03441	-243.3	2.4
53738.03620	-236.0	2.5
53738.80860	-240.5	2.6
53738.81040	-258.9	2.4
53738.81219	-249.3	2.5
53734.81795	-242.8	2.6
53734.81973	-243.9	2.8
53734.82152	-248.5	2.4
53742.79119	-252.0	2.8
53742.79299	-257.2	2.8
53742.79479	-239.7	2.8
53751.78199	-257.4	2.9
53751.78378	-263.1	2.5
53751.78558	-268.0	2.3
53753.78155	-273.1	2.5
53753.78381	-278.7	2.5
53753.78607	-266.4	2.4
53755.76038	-286.6	2.3
53755.76218	-266.5	2.6
53755.76397	-274.9	2.7
53746.81506	-257.1	1.9
53746.81778	-250.9	2.1
53746.82051	-245.2	2.3
53757.77002	-277.6	2.4
53757.77181	-280.3	2.4
53757.77360	-288.7	2.2
53797.64609	-439.8	3.1
53797.64834	-462.6	2.8
53797.65059	-452.5	2.9
53809.62428	-658.6	2.4
53809.62700	-658.8	2.5
53809.62972	-659.2	2.3
53837.76359	-304.3	3.0
53837.76670	-324.0	2.9
53837.78731	-308.6	2.7
53837.79077	-285.2	2.6
53866.69987	-215.9	1.7
53866.70329	-228.3	1.7
53866.70670	-220.4	1.8
53868.68349	-251.6	3.8
53868.68562	-208.6	2.9
53868.68777	-247.4	9.7
53875.66956	-215.7	1.6
53883.65565	-213.8	1.8
53883.65837	-209.2	1.7
53883.66109	-200.4	1.7
53890.63776	-203.4	1.7
53890.63954	-202.6	1.9
53890.64134	-203.2	1.9
53893.62959	-193.8	2.0
53893.63139	-189.3	1.9
53893.63318	-189.7	1.8
54047.94811	-375.2	4.8
54047.94991	-353.2	4.5
54047.95172	-362.6	4.4
54050.96248	-415.0	2.6
54050.96453	-423.0	2.5
54050.96657	-420.1	2.4
54052.96488	-426.8	2.3
54052.96762	-437.1	2.5
54052.97035	-447.6	2.5
54056.94606	-468.0	3.0
54056.94786	-466.4	2.6
54056.94964	-479.4	2.8
54063.92981	-599.1	2.1
54063.93166	-594.8	2.3
54063.93348	-592.3	2.4
54073.91213	-685.8	2.8
54073.91476	-688.7	2.9
54073.91739	-704.4	2.7
54122.01039	-220.8	2.5
54122.01243	-219.1	2.6
54122.01447	-218.4	2.8
54129.74214	-215.7	2.6
54129.74491	-224.4	3.0
54129.74768	-223.7	3.1
54160.65850	-189.5	3.2
54160.66031	-181.8	2.7
54160.66212	-204.8	3.2
54163.66458	-213.9	3.1
54163.66643	-200.8	2.9
54163.66828	-208.0	3.2
54165.88148	-208.5	2.7
